BHID,FROM,TO,LENGTH,CLV,CLM,CLI,feglc,siglc,pglc,alglc,mnglc,pfglc,tiglc,mgglc,caglc,foglc,peso,Indicador_Itabirito,Indicador_Hematita,Hematita_Itabirito,Divisao_Itabiritos
CAP-FD00006,0,4.3,4.3,AT,AT,IGO,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito_Superior
CAP-FD00006,4.3,13.2,8.9,IF,IF?,IFR,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito_Superior
CAP-FD00006,13.2,21.8,8.6,IF,IF?,IFR,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito_Superior
CAP-FD00006,21.8,29.6,7.8,IF,IF?,IFR,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito_Superior
CAP-FD00006,29.6,38.3,8.7,IF,IF?,IFR,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito_Superior
CAP-FD00006,38.3,50.05,11.75,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,50.05,59.2,9.15,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,59.2,68.6,9.4,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,68.6,78.55,9.95,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,78.55,88,9.45,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,88,98.25,10.25,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,98.25,108.05,9.8,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,108.05,120.65,12.6,IC,IC?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,120.65,131.95,11.3,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,131.95,138.15,6.2,ICTF,IGO?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,138.15,151.35,13.2,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,151.35,161.4,10.05,IS,IC?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,161.4,170.8,9.4,IS,IC?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,170.8,180.3,9.5,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,180.3,190.1,9.8,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,190.1,198.4,8.3,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00006,198.4,207.05,8.65,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
