BHID;FROM;TO;LITO;feglc;siglc;pglc;alglc;mnglc;pfglc;tiglc;mgglc;caglc;foglc;peso
FDCM0047;11.05;18.3;IGO;59.91825;4.6284;0.14385;6.52155;0.04095;7.23345;0.08925;0.1281;0.0126;0.21735;3.19
FDCM0047;18.3;25.75;IGO;51.6915;20.77425;0.1281;3.9543;0.1848;5.3613;0.07875;0.11235;0.0189;0.28665;3.19
FDCM0047;25.75;35.35;IF;39.08625;42.66045;0.07875;2.44125;0.1029;3.0555;0.05985;0.0441;0.01575;0.1701;2.47
FDCM0047;35.35;44.6;IGO;32.1531;51.66315;0.1029;2.65125;0.05565;3.82935;0.07035;0.04725;0.02205;0.2184;3.19
FDCM0047;44.6;53.5;IF;35.71575;49.09485;0.0798;1.49835;0.0567;2.74785;0.04305;0.01155;0.01575;0.1806;2.47
FDCM0047;53.5;65.2;IGO;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;3.19
FDCM0047;65.2;72.55;IGO;37.57845;47.07885;0.0609;0.58485;0.0315;3.26655;0.01575;0.0168;0.00945;0.21525;3.19
FDCM0047;72.55;79.85;IGO;38.43525;44.7027;0.07665;0.64995;0.0399;4.473;0.0147;0.00315;0.01155;0.1806;3.19
FDCM0047;79.85;90.85;IF;28.97055;59.2473;0.0462;1.23585;0.03465;2.2428;0.03465;0.0483;0.0105;0.29085;2.47
FDCM0047;90.85;101.9;IF;33.30705;53.42925;0.0819;0.8736;0.1008;2.78985;0.0336;0.0462;0.01785;0.13335;2.47
FDCM0047;101.9;113.1;IF;37.04925;47.6847;0.084;0.5901;0.07875;2.89485;0.02205;0.02625;0.0147;0.11025;2.47
FDCM0047;113.1;124.45;IF;34.9965;52.10415;0.06405;0.42;0.0588;2.23335;0.01785;0.03675;0.01365;0.12915;2.47
FDCM0047;124.45;136.2;IF;35.47845;51.387;0.0462;0.30555;0.03255;1.9656;0.0084;0.00945;0.01365;0.25305;2.47
FDCM0047;136.2;146.45;IF;32.151;54.7806;0.07875;0.6342;0.05985;2.63865;0.01365;0.02415;0.0147;0.16065;2.47
FDCM0047;146.45;156.45;IF;33.4026;53.4471;0.0798;0.6174;0.0609;2.40765;0.01575;0.01785;0.01575;0.21105;2.47
FDCM0047;156.45;166.65;IF;29.33805;59.4552;0.063;0.85155;0.12075;1.7808;0.0315;0.03255;0.01365;0.126;2.47
FDCM0047;166.65;177.85;IF;30.20745;59.5518;0.0189;0.4242;0.11655;1.05735;0.00525;0.04095;0.00735;0.37695;2.47
FDCM0047;177.85;188.8;IF;27.3861;63.53445;0.01785;0.54495;0.11235;0.95235;0.0147;0.0021;0.0147;0.24045;2.47
FDCM0047;188.8;194.7;IF;29.4924;59.22;0.0504;0.54915;0.19005;2.15355;0.021;0.0231;0.0126;0.084;2.47
FDCM0047;194.7;202.35;IC;36.0906;49.329;0.05145;0.3822;0.38535;2.2638;0.0147;0.04095;0.01365;0.1281;3.19
FDCM0047;202.35;209.95;IC;36.687;47.71725;0.0504;0.4557;1.15395;2.3289;0.0147;0.0021;0.01575;0.27825;3.19
FDCM0170;0;5.3;IFR;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;2.47
FDCM0170;5.3;14.6;IFR;63.9765;9.21795;0.05565;1.3713;0.0021;2.3184;0.04935;0.00525;0.0147;0.1806;2.47
FDCM0170;14.6;25.35;IFR;64.6779;9.87105;0.04935;1.04475;0.00525;1.52565;0.0168;0.0462;0.01365;0.21;2.47
FDCM0170;25.35;34.3;IFR;62.55585;12.8058;0.05355;0.66885;0.00315;1.386;0.0126;0.021;0.0147;0.19635;2.47
FDCM0170;34.3;39.95;IC;46.73655;36.8172;0.01995;0.36645;0.0105;0.8589;0.0084;0.0294;0.0063;0.19635;3.19
FDCM0170;39.95;47.3;IC;53.22135;26.50095;0.02415;0.5922;0.0105;0.9975;0.01155;0.0042;0.0042;0.24675;3.19
FDCM0170;47.3;53.75;IF;43.6296;39.34875;0.03045;1.17495;0.00735;1.32615;0.0126;0.01365;0.0084;0.17325;2.47
FDCM0170;53.75;57.95;IF;47.86635;35.364;0.0252;0.40635;0.0021;0.92085;0.0042;0.00945;0.0084;0.21945;2.47
